City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
475,Umm Kaddadah,SD,78.67,broken clouds,13.6017,26.6876,
476,Abu Zabad,SD,85.19,overcast clouds,12.35,29.25,حامد محمد نور
477,Tautira,PF,84.0,broken clouds,-17.7333,-149.15,Pension Oaoa
478,Deniliquin,AU,75.0,clear sky,-35.5333,144.9667,Riviana Motel
487,Charters Towers,AU,80.38,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
492,Bayji,IQ,78.3,clear sky,34.9311,43.486999999999995,قريه جديده
494,Kimbe,PG,84.85,light rain,-5.5502,150.1429,Kimbe Bay Hotel
497,Saint-Joseph,RE,77.0,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
505,Norsup,VU,80.15,broken clouds,-16.0667,167.3833,Nabelchel Bungalows
507,Pirgos,GR,80.6,broken clouds,35.1167,25.7178,Daios Cove
509,Nha Trang,VN,87.8,few clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
511,Caraballeda,VE,77.0,broken clouds,10.6112,-66.8522,Hotel 15 Letras
515,Sunrise Manor,US,80.6,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
517,Ninghai,CN,77.0,clear sky,29.2892,121.4247,Kaiyuan New Century Hotel
518,Pointe Michel,DM,77.49,light rain,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
520,Doha,QA,89.6,light rain,25.2867,51.5333,Movenpick Hotel Doha
523,Birin,NP,80.1,clear sky,26.8865,88.0718,Sangam hotel and lodge
525,Alyangula,AU,87.8,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
529,Salinopolis,BR,78.39,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
530,Kollam,IN,86.0,haze,8.8833,76.6,Nani Hotels and Resorts
531,Pishin,PK,76.24,scattered clouds,30.5803,66.9961,City Hotel Pishin
534,Coruripe,BR,75.97,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
537,Turbat,PK,88.05,overcast clouds,26.0023,63.044,Mubashar Quarters
538,Tiarei,PF,84.0,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
540,Riyadh,SA,84.2,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
543,Vaitape,PF,81.75,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
548,Kawalu,ID,84.47,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
551,Chalakudi,IN,84.2,mist,10.304,76.3361,Hotel Sidhartha Luxury Business Class Hotel 4 STAR
554,Panama City,PA,78.8,overcast clouds,8.9936,-79.5197,Hotel Riande Granada Urban
555,Qui Nhon,VN,82.9,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
