City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
235,Alice Springs,AU,-23.7,133.8833,73.99,23,0,11.5,clear sky
236,Padilla,CO,3.2204,-76.3139,66.2,100,75,2.3,light intensity drizzle
237,Taywarah,AF,33.35,64.4167,58.44,25,32,1.61,scattered clouds
238,Matagami,CA,49.7502,-77.6328,39.2,52,1,3.44,clear sky
239,Nalut,LY,30.3333,10.85,83.23,18,91,0.51,overcast clouds
240,Pucallpa,PE,-8.3791,-74.5539,69.55,85,80,1.95,broken clouds
241,Ribeira Grande,PT,38.5167,-28.7,59.02,70,54,12.01,broken clouds
242,Constitucion,CL,-35.3333,-72.4167,57.92,69,0,6.49,clear sky
243,Soyo,AO,-6.1349,12.3689,78.51,88,99,3.42,overcast clouds
244,Axim,GH,4.8699,-2.2405,79.97,83,100,5.03,overcast clouds
245,Korla,CN,41.7597,86.1469,72.18,16,0,1.9,clear sky
246,Ishinomaki,JP,38.4167,141.3,55.4,94,75,4.61,mist
247,Elbistan,TR,38.2059,37.1983,59.09,57,83,1.9,broken clouds
248,Mitsamiouli,KM,-11.3847,43.2844,80.78,77,9,9.66,clear sky
249,Angoche,MZ,-16.2325,39.9086,76.64,89,32,3.94,light rain
250,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.36,73,97,6.96,overcast clouds
251,Thunder Bay,CA,48.4001,-89.3168,41.0,87,20,2.3,few clouds
252,Dudinka,RU,69.4058,86.1778,32.56,99,100,6.08,overcast clouds
253,Oak Ridge,US,36.0104,-84.2696,69.8,78,1,3.96,clear sky
254,Katsuura,JP,35.1333,140.3,64.4,88,75,13.8,light rain
255,Shimoda,JP,34.6667,138.95,66.2,88,75,23.02,broken clouds
256,Sabla,NG,12.7525,4.7077,84.74,36,35,8.68,scattered clouds
257,Sawakin,SD,19.1059,37.3321,78.6,85,13,7.83,few clouds
258,Aripuana,BR,-9.1667,-60.6333,72.34,98,89,0.85,overcast clouds
259,Onega,RU,63.9061,38.1404,31.28,62,98,6.4,overcast clouds
260,Baykit,RU,61.67,96.37,38.53,78,100,5.88,overcast clouds
261,Grand Gaube,MU,-20.0064,57.6608,75.0,90,82,7.0,moderate rain
262,Husavik,IS,66.0449,-17.3389,26.6,86,0,3.44,clear sky
263,Tiksi,RU,71.6872,128.8694,30.69,83,16,6.44,few clouds
